AFR	105	Intro to Black Experience 	1	46	None	Carter-Jackson			
AFR	115	Intro to Afr Amer Philosophy 	1	30	 None				
			1	30	 None				
AFR	201	African-Amer Lit Tradition 	1	30		Cudjoe			
			1	30		Cudjoe			
AFR	206	African Amer Hist 1500-present 	1	25	None	Jackson			
AFR	209	Af Am History: Slavery to Civil War 	1	25	 None	 Carter-Jackson			
AFR	210	Af Am History: Reconstruction to Present 	1	25	 None.	 Carter-Jackson			
AFR	211	Intro African Literature 	1	30	None	Cudjoe			
AFR	212	Black Women Writers 	1	25	None	Cudjoe			
			1	25	None	Cudjoe			
AFR	215	Unpacking Blackness 	1	25	 None.	 Dendere			
AFR	225	Intro Black Psychology 	1	30		 Staff			
			1	30		 Staff			
AFR	227	Black Girlhood 	1	20	 None	 Lindsay-Dennis			
			1	20	 None	 Lindsay-Dennis			
AFR	228	Black Feminist Philosophy 	1	30	 Open to First-Years who have taken one course in philosophy and to Sophomores, Juniors, and Seniors without prerequisite.				
			1	30	 Open to First-Years who have taken one course in philosophy and to Sophomores, Juniors, and Seniors without prerequisite.				
AFR	236	Intro to African Politics 	1	25	None	 Dendere			
			1	25	None	 Dendere			
AFR	239	Sem: African Civilizations 	1	20	None.	Fitzpatrick			
AFR	242	New World Afro-Atlantic Religions 	1	30	None	Fitzpatrick			
			1	30	None	Fitzpatrick			
AFR	243	The Black Church 	1	25	None	Fitzpatrick			
			1	25	None	Fitzpatrick			
AFR	245	The Impact of Globalization 	1	25	None	 Dendere			
			1	25	None	 Dendere			
AFR	249	Black Women's History 	1	30	None	 Carter-Jackson			
AFR	250	Research or Individual Study 	1	15	 Permission of the instructor.				
AFR	256	The Portuguese-Speaking World 	1	14	None	Igrejas			
			1	14	None	Igrejas			
AFR	264	African Art 	1	25	None	Greene			
			1	25	None	Greene			
AFR	265	African American Autobiographies 	1	30	None	Cudjoe			
			1	30	None	Cudjoe			
AFR	271	History of Slavery Thru Film 	1	25	None	Jackson			
			1	25	None	Jackson			
AFR	292	African Art & the Diaspora 	1	25	None. ARTH 100 recommended.	Greene			
			1	25	None. ARTH 100 recommended.	Greene			
AFR	295	The Harlem Renaissance 	1	30	 None.	 Cudjoe			
			1	30	 None.	 Cudjoe			
AFR	299	Sem: Caribbean Culture 	1	20	 None.	 Fitzpatrick			
AFR	302	Caribbean Intellectual Thought 	1	25	 One 200-level course of relevance to Africana Studies or permission of the instructor.	 Cudjoe			
AFR	303	Seminar: Slavery and Film 	1	15	 AFR 105 or AFR 206. Not open to students who have taken AFR 271.	 Carter-Jackson			
AFR	304	Sem: Politics of Chocolates 	1	15	 At least one Africana Studies or Political Science course.	 Dendere			
			1	15	 At least one Africana Studies or Political Science course.	 Dendere			
AFR	306	Urban Development & Underclass 	1	20	One 200-level course of relevance to Africana Studies or permission of the instructor.				
AFR	310	Sem: Reading DuBois 	1	20	One 200-level course of relevance to Africana Studies or permission of the instructor.	Cudjoe			
			1	20	One 200-level course of relevance to Africana Studies or permission of the instructor.	Cudjoe			
AFR	312	Sem: Natural Resources in Africa 	1	20	 AFR 263 or POL2 204, or by permission of the instructor.	 Shingirai Taodzera			
AFR	316	Sem: Race & Gender Contemporary Art 	1	12	 ARTH 100 or a 200-level ARTH course or a 200-level AFR course or a visual culture course.	Greene			
			1	12	 ARTH 100 or a 200-level ARTH course or a 200-level AFR course or a visual culture course.	Greene			
AFR	319	Black Aesthetics 	1	16	At least one course in Philosophy, Africana Studies, or Women's and Gender Studies.				
			1	16	At least one course in Philosophy, Africana Studies, or Women's and Gender Studies.				
AFR	330	CSPW: Black Diaspora & Pandemic 	1	12	 At least one Africana Studies or Political Science course.	 Dendere			
AFR	341	Africans of the Diaspora 	1	15	 One 200-level course of relevance to Africana Studies or permission of the instructor.	 Fitzpatrick			
AFR	345	Enslaved Women in the Atlantic World 	1	15	 AFR 209 or AFR 105	 Carter-Jackson			
AFR	350	Research or Individual Study 	1	15	Permission of the instructor. Open to juniors and seniors.			Spring; Fall	Fall; Spring
AFR	350H	Research or Individual Study 	0.5	25	Permission of the instructor.			Spring; Fall	Fall; Spring
AFR	360	Senior Thesis Research 	1	15	Permission of the department.				
AFR	370	Senior Thesis 	1	25	AFR 360 and permission of the department.				
AFR	380	Violence in the Black Atlantic 	1	15	 One 200-level course of relevance to Africana Studies or permission of the instructor.	 Carter-Jackson			
AFR	390	Sem: Racism in the North 	1	15	 None. A course in African American History recommended (AFR 209 or AFR 210).	 Carter-Jackson			
SWA	101	Elementary Swahili 	1	15	None	Osoro			
SWA	102	Elementary Swahili 	1	15	SWA 101	Osoro			
SWA	120	Swahili Language and Culture 	1	18	 SWA 101 and permission of the instructor.	 Osoro			
SWA	201	Intermediate Swahili I 	1	15	SWA 102	Osoro			
SWA	202	Intermediate Swahili II 	1	15	SWA 201	Osoro			
SWA	203	Intensive Intermediate Swahili 	1	25	SWA 102	Osoro			
SWA	220	Swahili Language and Culture 	1	18	 SWA 201 and permission of the instructor.	 Osoro			
AMST	101	Intro to American Studies 	1	25	 None	 P. Fisher			
AMST	116	Asian American Fiction 	1	40	None	Lee			
			1	40	None	Lee			
AMST	121	Intro to Ethnic Studies 	1	25	None	Rivera-Rideau			
AMST	151	The Asian American Experience 	1	25	None	Clutario			
AMST	161	Intro to Latina/o Studies 	1	30	None	 Rivera-Rideau			
AMST	212	Korean-American Lit & Culture 	1	25	None	Widmer (East Asian Languages and Cultures)			
AMST	217	Latina/o Music and Identity 	1	25	None	Rivera-Rideau			
AMST	218	Religion in America 	1	25	None	Marini			
			1	25	None	Marini			
AMST	220	Liberty and Morality 	1	30	None.	Cushman, Imber			
			1	30	None.	Cushman, Imber			
AMST	222	Asian American Psychology 	1	30	 PSYC 101 or AMST 151; or a score of 5 on the Psychology AP exam; or a score of 5, 6, or 7 on the Higher Level IB exam; or permission of the instructor.	Chen			
			1	30	 PSYC 101 or AMST 151; or a score of 5 on the Psychology AP exam; or a score of 5, 6, or 7 on the Higher Level IB exam; or permission of the instructor.	Chen			
AMST	225	Urban Studies and Policy 	1	30	None	Kaliner			
			1	30	None	Kaliner			
AMST	228	Religious Themes Amer Fiction 	1	25	None	Marini			
			1	25	None	Marini			
AMST	231	Americans in Paris (in Eng) 	1	20	 None. 	 Datta, P. Fisher			
			1	20	 None. 	 Datta, P. Fisher			
AMST	232	Asian American Pop Culture 	1	25	None	Clutario			
AMST	234	Rad Individual and Common Good 	1	25	 None	 Marini			
			1	25	 None	 Marini			
AMST	235	Consuming Latina/o Cultures 	1	25	None	Rivera-Rideau			
AMST	240	Rise of an American Empire 	1	25	 None	 P. Fisher			
			1	25	 None	 P. Fisher			
AMST	241	A Nation in Therapy 	1	30	None	Imber			
			1	30	None	Imber			
AMST	242	American Reckonings 	1	25	 None.	 E. Battat (Writing Program)			
AMST	246	How Immigration is Changing the US and the World 	1	30	None	Levitt			
			1	30	None	Levitt			
AMST	248	Poetics of the Body 	1	30	 None.	 Brogan			
			1	30	 None.	 Brogan			
AMST	251	Racial Regimes in US & Beyond 	1	25	 At least one social science course required.	 S. Radhakrishnan			
			1	25	 At least one social science course required.	 S. Radhakrishnan			
AMST	258	Gotham: New York in Lit & Art 	1	30	None	Brogan			
			1	30	None	Brogan			
AMST	261	Hollywood: Vietnam to Reagan 	1	30	 None.	 Shetley			
			1	30	 None.	 Shetley			
AMST	262	American Literature to 1865 	1	30	None	Cain			
			1	30	None	Cain			
AMST	264	Asian Am. Labor & Immigration 	1	25	None	Clutario			
AMST	266	Am Lit from Civil War to 1930s 	1	30	 None	 Cain			
			1	30	 None	 Cain			
AMST	268	American Literature Now 	1	30	None	Shetley			
			1	30	None	Shetley			
AMST	274	Gender & Race in Westerns 	1	25	 None	 Creef, P. Fisher (American Studies)			
			1	25	 None	 Creef, P. Fisher (American Studies)			
AMST	281	Rainbow Republic: Am Culture 	1	25	None	 P. Fisher			
			1	25	None	 P. Fisher			
AMST	290	Afro-Latinas/os in the U.S. 	1	20	None	Rivera-Rideau			
			1	20	None	Rivera-Rideau			
AMST	292	Film Noir 	1	30	 None	 Shetley			
			1	30	 None	 Shetley			
AMST	296	Immigration & Diaspora 	1	30	None	Brogan			
			1	30	None	Brogan			
AMST	299	Horror Films in America 	1	30	None	Shetley			
			1	30	None	Shetley			
AMST	310	Asian Am Politics of Beauty 	1	15	AMST 101 or AMST 151, or permission of the instructor.	Clutario			
AMST	314	Sem: Food & Asian Am Experience 	1	15	 One of the following - AMST 151, AMST 121, AMST 232, AMST 264, AMST 101, AMST 116/ENG 116, or permission of the instructor.	 Clutario			
AMST	318	"Sem:The ""Enemy Race"" in WWII "	1	15	 One course in Asian American Studies, or in Asian Religions, or permission of the instructor.	 Kodera			
			1	15	 One course in Asian American Studies, or in Asian Religions, or permission of the instructor.	 Kodera			
AMST	319	Sem: Religion, Law & Politics 	1	15	 REL 200 or REL 217 or REL 218, or at least one 200-level unit in American Studies or in American history, sociology, or politics; or permission of the instructor.	 Marini			
			1	15	 REL 200 or REL 217 or REL 218, or at least one 200-level unit in American Studies or in American history, sociology, or politics; or permission of the instructor.	 Marini			
AMST	323	Sem: Race, Gender in Reggaeton 	1	15	 Previous coursework in Latinx Studies, American Studies, Africana Studies or Latin American Studies preferred.	 Rivera-Rideau			
AMST	325	Puerto Ricans Home & Beyond 	1	15	AMST 101 or permission of the instructor	Rivera-Rideau			
