AFR	105	Intro to Black Experience 	1	46	None	Carter-Jackson	HS - Historical Studies; SBA - Social and Behavioral Analysis	Fall	Fall
AFR	115	Intro to Afr Amer Philosophy 	1	30	 None		REP - Religion, Ethics, and Moral Philosophy		Not Offered
PHIL	115	Intro to Afr Amer Philosophy	1	30	 None		REP - Religion, Ethics, and Moral Philosophy		Not Offered
AFR	201	African-Amer Lit Tradition 	1	30		Cudjoe	LL - Language and Literature		Fall
ENG	260	African-Amer Lit Tradition	1	30		Cudjoe	LL - Language and Literature		Fall
AFR	206	African Amer Hist 1500-present 	1	25	None	Jackson	HS - Historical Studies	Spring	Not Offered
AFR	209	Af Am History: Slavery to Civil War 	1	25	 None	 Carter-Jackson	HS - Historical Studies		Not Offered
AFR	210	Af Am History: Reconstruction to Present 	1	25	 None.	 Carter-Jackson	HS - Historical Studies		Spring
AFR	211	Intro African Literature 	1	30	None	Cudjoe	LL - Language and Literature		Not Offered
AFR	212	Black Women Writers 	1	25	None	Cudjoe	LL - Language and Literature		Fall
ENG	279	Black Women Writers	1	25	None	Cudjoe	LL - Language and Literature		Fall
AFR	215	Unpacking Blackness 	1	25	 None.	 Dendere	SBA - Social and Behavioral Analysis		Not Offered
AFR	225	Intro Black Psychology 	1	30		 Staff	SBA - Social and Behavioral Analysis		Not Offered
PSYC	225	Intro Black Psychology	1	30		 Staff	SBA - Social and Behavioral Analysis		Not Offered
AFR	227	Black Girlhood 	1	20	 None	 Lindsay-Dennis	SBA - Social and Behavioral Analysis	Every other year	Not Offered
EDUC	227	Black Girlhood	1	20	 None	 Lindsay-Dennis	SBA - Social and Behavioral Analysis	Every other year	Not Offered
AFR	228	Black Feminist Philosophy 	1	30	 Open to First-Years who have taken one course in philosophy and to Sophomores, Juniors, and Seniors without prerequisite.		REP - Religion, Ethics, and Moral Philosophy		Not Offered
PHIL	228	Black Feminist Philosophy	1	30	 Open to First-Years who have taken one course in philosophy and to Sophomores, Juniors, and Seniors without prerequisite.		REP - Religion, Ethics, and Moral Philosophy		Not Offered
AFR	236	Intro to African Politics 	1	25	None	 Dendere	SBA - Social and Behavioral Analysis	Spring	Fall
POL2	231	Intro to African Politics	1	25	None	 Dendere	SBA - Social and Behavioral Analysis	Spring	Fall
AFR	239	Sem: African Civilizations 	1	20	None.	Fitzpatrick	HS - Historical Studies	Spring	Spring
AFR	242	New World Afro-Atlantic Religions 	1	30	None	Fitzpatrick	REP - Religion, Ethics, and Moral Philosophy	Fall	Fall
REL	214	New World Afro-Atlantic Religions	1	30	None	Fitzpatrick	REP - Religion, Ethics, and Moral Philosophy	Fall	Fall
AFR	243	The Black Church 	1	25	None	Fitzpatrick	REP - Religion, Ethics, and Moral Philosophy; ARS - Visual Arts, Music, Theater, Film and Video	Spring	Spring
PEAC	243	The Black Church	1	25	None	Fitzpatrick	REP - Religion, Ethics, and Moral Philosophy; ARS - Visual Arts, Music, Theater, Film and Video	Spring	Spring
AFR	245	The Impact of Globalization 	1	25	None	 Dendere	SBA - Social and Behavioral Analysis	Spring	Spring
POL3	245	The Impact of Globalization	1	25	None	 Dendere	SBA - Social and Behavioral Analysis	Spring	Spring
AFR	249	Black Women's History 	1	30	None	 Carter-Jackson	HS - Historical Studies	Spring	Not Offered
AFR	250	Research or Individual Study 	1	15	 Permission of the instructor.			Spring; Fall	Fall; Spring
AFR	256	The Portuguese-Speaking World 	1	14	None	Igrejas	LL - Language and Literature; ARS - Visual Arts, Music, Theater, Film and Video	Spring	Spring
PORT	256	The Portuguese-Speaking World	1	14	None	Igrejas	LL - Language and Literature; ARS - Visual Arts, Music, Theater, Film and Video	Spring	Spring
AFR	264	African Art 	1	25	None	Greene	ARS - Visual Arts, Music, Theater, Film and Video		Spring
ARTH	264	African Art	1	25	None	Greene	ARS - Visual Arts, Music, Theater, Film and Video		Spring
AFR	265	African American Autobiographies 	1	30	None	Cudjoe	LL - Language and Literature	Every other year	Spring
ENG	265	African American Autobiographies	1	30	None	Cudjoe	LL - Language and Literature	Every other year	Spring
AFR	271	History of Slavery Thru Film 	1	25	None	Jackson	ARS - Visual Arts, Music, Theater, Film and Video	Fall	Not Offered
CAMS	271	History of Slavery Thru Film	1	25	None	Jackson	ARS - Visual Arts, Music, Theater, Film and Video	Fall	Not Offered
AFR	292	African Art & the Diaspora 	1	25	None. ARTH 100 recommended.	Greene	ARS - Visual Arts, Music, Theater, Film and Video	Fall	Not Offered
ARTH	292	African Art & the Diaspora	1	25	None. ARTH 100 recommended.	Greene	ARS - Visual Arts, Music, Theater, Film and Video	Fall	Not Offered
AFR	295	The Harlem Renaissance 	1	30	 None.	 Cudjoe	LL - Language and Literature; HS - Historical Studies		Not Offered
ENG	295	The Harlem Renaissance	1	30	 None.	 Cudjoe	LL - Language and Literature; HS - Historical Studies		Not Offered
AFR	299	Sem: Caribbean Culture 	1	20	 None.	 Fitzpatrick	SBA - Social and Behavioral Analysis	Spring	Spring
AFR	302	Caribbean Intellectual Thought 	1	25	 One 200-level course of relevance to Africana Studies or permission of the instructor.	 Cudjoe	LL - Language and Literature	Spring	Spring
AFR	303	Seminar: Slavery and Film 	1	15	 AFR 105 or AFR 206. Not open to students who have taken AFR 271.	 Carter-Jackson	ARS - Visual Arts, Music, Theater, Film and Video		Fall
AFR	304	Sem: Politics of Chocolates 	1	15	 At least one Africana Studies or Political Science course.	 Dendere	SBA - Social and Behavioral Analysis		Fall
POL3	302	Sem: Politics of Chocolates	1	15	 At least one Africana Studies or Political Science course.	 Dendere	SBA - Social and Behavioral Analysis		Fall
AFR	306	Urban Development & Underclass 	1	20	One 200-level course of relevance to Africana Studies or permission of the instructor.		SBA - Social and Behavioral Analysis	Spring	Not Offered
AFR	310	Sem: Reading DuBois 	1	20	One 200-level course of relevance to Africana Studies or permission of the instructor.	Cudjoe	LL - Language and Literature	Every other year	Not Offered
SOC	310	Sem: Reading DuBois	1	20	One 200-level course of relevance to Africana Studies or permission of the instructor.	Cudjoe	LL - Language and Literature	Every other year	Not Offered
AFR	312	Sem: Natural Resources in Africa 	1	20	 AFR 263 or POL2 204, or by permission of the instructor.	 Shingirai Taodzera	SBA - Social and Behavioral Analysis	Fall	Not Offered
AFR	316	Sem: Race & Gender Contemporary Art 	1	12	 ARTH 100 or a 200-level ARTH course or a 200-level AFR course or a visual culture course.	Greene	ARS - Visual Arts, Music, Theater, Film and Video	Spring	Not Offered
ARTH	316	Sem: Race & Gender Contemporary Art	1	12	 ARTH 100 or a 200-level ARTH course or a 200-level AFR course or a visual culture course.	Greene	ARS - Visual Arts, Music, Theater, Film and Video	Spring	Not Offered
AFR	319	Black Aesthetics 	1	16	At least one course in Philosophy, Africana Studies, or Women's and Gender Studies.		REP - Religion, Ethics, and Moral Philosophy		Not Offered
PHIL	319	Black Aesthetics	1	16	At least one course in Philosophy, Africana Studies, or Women's and Gender Studies.		REP - Religion, Ethics, and Moral Philosophy		Not Offered
